,1,2,5,10,20,30,40,50,60,70,80,90,100,200,300,400,500,600,700,800,900,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000
T(o),673,1271,3134,6315,12452,19663,25521,32170,38198,44247,50765,56651,63921,134448,205055,276255,347003,421329,493710,559060,631947,703473,1482797,2281698,3087769,3956083,4852847,5765939,6670354,7653813,8687106
