,1,2,5,10,20,30,40,50,60,70,80,90,100,200,300,400,500,600,700,800,900,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000
T(o),91,104,97,99,98,97,103,100,103,100,105,99,103,105,107,112,117,120,124,123,129,126,141,159,176,193,202,219,235,242,263
