,1,2,5,10,20,30,40,50,60,70,80,90,100,200,300,400,500,600,700,800,900,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000
T(o),767,723,709,660,776,731,779,738,764,764,760,755,756,789,824,823,832,822,821,835,831,825,890,903,914,921,929,937,944,963,982
