,1,2,5,10,20,30,40,50,60,70,80,90,100,200,300,400,500,600,700,800,900,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000
T(o),102,216,633,1323,2862,4090,5534,6768,8439,10631,11376,13232,14804,31484,49101,63847,81737,96525,112335,130105,151577,165258,376265,609066,851695,1132949,1430503,1698818,2059343,2431759,2785553
