,1,2,5,10,20,30,40,50,60,70,80,90,100,200,300,400,500,600,700,800,900,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000
T(o),844,824,778,783,772,809,847,818,830,820,829,829,845,860,878,888,897,898,906,920,905,913,967,987,994,995,1000,1002,1019,1030,1053
