,1,2,5,10,20,30,40,50,60,70,80,90,100,200,300,400,500,600,700,800,900,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000
T(o),3085545,3183604,3099162,3137028,3202280,3154617,3321343,3275226,3282937,3351412,3379381,3394350,3513298,3344035,3338565,3353033,3387367,3432505,3413577,3461901,3535610,3555507,3023794,2679559,2313152,2012163,1750882,1545919,1360017,1166636,989822
