,1,2,5,10,20,30,40,50,60,70,80,90,100,200,300,400,500,600,700,800,900,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000
T(o),98,95,96,94,93,93,92,94,93,93,93,94,93,93,94,93,93,93,93,93,93,93,93,93,93,93,93,93,93,92,90
