,1,2,5,10,20,30,40,50,60,70,80,90,100,200,300,400,500,600,700,800,900,1000,2000,3000,4000,5000,6000,7000,8000,9000,10000
T(o),1390,713,702,744,760,751,770,771,746,754,772,811,845,810,824,803,782,793,789,820,792,807,854,859,885,854,848,836,792,746,711
